File Name,Reason Skipped,Link
1 - Master List of Amend2 Sell Sheets.pdf,No matching SKU found as filename prefix,https://drive.google.com/file/d/1MYrdJg38ZzLAriQpwA-VWzDp4epOLNG1/view?usp=drivesdk
Amend2 2026 New Products Flyer.pdf,No matching SKU found as filename prefix,https://drive.google.com/file/d/1PwK4XzdNEAwRindtVzhg30s1MfePUg1R/view?usp=drivesdk
Current Amend2 Custom UV-Printed Magazines Sell Sheet.pdf,No matching SKU found as filename prefix,https://drive.google.com/file/d/1CvMbzgCe-ZBTV4IraKbL1eIFTq5r8LcS/view?usp=drivesdk
Custom UV-Printed Magazine Program #1 - Example.pdf,No matching SKU found as filename prefix,https://drive.google.com/file/d/1deb6p1JoD6WJ2Ke7DgaJUpvNUkTrBrUI/view?usp=drivesdk
Custom UV-Printed Magazine Program #1 - Logo on Standard Magazine.pdf,No matching SKU found as filename prefix,https://drive.google.com/file/d/14mrcH29_wg1EIkfVQxFav7aJyZT5Sbco/view?usp=drivesdk
Custom UV-Printed Magazine Program #2 - Example.pdf,No matching SKU found as filename prefix,https://drive.google.com/file/d/1-PoAJlEawCLpEd9PfIZIlCOJC_sjnNbL/view?usp=drivesdk
Custom UV-Printed Magazine Program #2 - Logo on Current Custom UV-Printed Magazine.pdf,No matching SKU found as filename prefix,https://drive.google.com/file/d/1CbmgV6TVUKeIb-gAXnlVm2cRPnFYPeky/view?usp=drivesdk
Custom UV-Printed Magazine Program #3 - Example.pdf,No matching SKU found as filename prefix,https://drive.google.com/file/d/1DA3SsA4iap9iOk81oCOAU8N55GZIIP20/view?usp=drivesdk
"Custom UV-Printed Magazine Program #3 - Full, Custom UV-Printed Magazine.pdf",No matching SKU found as filename prefix,https://drive.google.com/file/d/1kvGUdYPokYUX1LuuspTac3qdocxPxHeq/view?usp=drivesdk
Custom UV-Printed Magazine Programs - Item Numbers to use.pdf,No matching SKU found as filename prefix,https://drive.google.com/file/d/10WvbO11sbixHYbhW0BYckD0LG-U9APzJ/view?usp=drivesdk
Custom UV-Printed Magazine Programs.pdf,No matching SKU found as filename prefix,https://drive.google.com/file/d/1x1l38U21SJQWN8pSJKwhSUC17WgpLQ-W/view?usp=drivesdk
"Mod-2, Mod-3 & Mod-C AR-15 Magazine Comparison Sell Sheet.pdf",No matching SKU found as filename prefix,https://drive.google.com/file/d/1afta7g_0VhDELm8dKhVppw67L-p0gmSY/view?usp=drivesdk