Version 2026.07.01,,,,,,,,,
,A2VFGBLK,749355071500,Amend2® M-LOK® Vertical Foregrip Black Model,Yes,Yes,Glass wool fibers (inhalable and biopersistent),Yes,Methanol,"WARNING: This product can expose you to chemicals including Glass wool fibers (inhalable and biopersistent), which is known to the State of California to cause cancer, and Methanol, which is known to the State of California to cause birth defects or other reproductive harm. For more information, go to www.P65Warnings.ca.gov"
,,,,,,,,,
New ,A2VFGCYT,749355071517,Amend2® M-LOK® Vertical Foregrip Coyote Brown Model,Yes,Yes,Glass wool fibers (inhalable and biopersistent),Yes,Methanol,"WARNING: This product can expose you to chemicals including Glass wool fibers (inhalable and biopersistent), which is known to the State of California to cause cancer, and Methanol, which is known to the State of California to cause birth defects or other reproductive harm. For more information, go to www.P65Warnings.ca.gov"
,Grips,,,,,,,,
,AR-15/M4/M15/SR-25/M110/AR-10,,,,,,,,
,Pistol Grips,,,,,,,,
,A2PGEBLK,749355071555,Amend2® Pistol Grip - Enhanced Black Model (No Grip Screw Included),Yes,Yes,Glass wool fibers (inhalable and biopersistent),Yes,Methanol,"WARNING: This product can expose you to chemicals including Glass wool fibers (inhalable and biopersistent), which is known to the State of California to cause cancer, and Methanol, which is known to the State of California to cause birth defects or other reproductive harm. For more information, go to www.P65Warnings.ca.gov"
New ,A2PGECYT,749355071548,Amend2® Pistol Grip - Enhanced Coyote Brown Model (No Grip Screw Included),Yes,Yes,Glass wool fibers (inhalable and biopersistent),Yes,Methanol,"WARNING: This product can expose you to chemicals including Glass wool fibers (inhalable and biopersistent), which is known to the State of California to cause cancer, and Methanol, which is known to the State of California to cause birth defects or other reproductive harm. For more information, go to www.P65Warnings.ca.gov"
,,,,,,,,,
New ,PGE2BLK,749355071579,"Amend2® Pistol Grip - Enhanced 2 Black Model (No Beavertail, No Grip Screw Included)",Yes,Yes,Glass wool fibers (inhalable and biopersistent),Yes,Methanol,"WARNING: This product can expose you to chemicals including Glass wool fibers (inhalable and biopersistent), which is known to the State of California to cause cancer, and Methanol, which is known to the State of California to cause birth defects or other reproductive harm. For more information, go to www.P65Warnings.ca.gov"
New ,PGE2CYT,749355071562,"Amend2® Pistol Grip - Enhanced 2 Coyote Brown Model (No Beavertail, No Grip Screw Included)",Yes,Yes,Glass wool fibers (inhalable and biopersistent),Yes,Methanol,"WARNING: This product can expose you to chemicals including Glass wool fibers (inhalable and biopersistent), which is known to the State of California to cause cancer, and Methanol, which is known to the State of California to cause birth defects or other reproductive harm. For more information, go to www.P65Warnings.ca.gov"
,,,,,,,,,
New ,PPGBLK,749355071593,"Amend2® Priapus Pistol Grip Black Model (No Beavertail, No Grip Screw Included)",Yes,Yes,Glass wool fibers (inhalable and biopersistent),Yes,Methanol,"WARNING: This product can expose you to chemicals including Glass wool fibers (inhalable and biopersistent), which is known to the State of California to cause cancer, and Methanol, which is known to the State of California to cause birth defects or other reproductive harm. For more information, go to www.P65Warnings.ca.gov"
New ,PPGCYT,749355071586,"Amend2® Priapus Pistol Grip Coyote Brown (No Beavertail, No Grip Screw Included)",Yes,Yes,Glass wool fibers (inhalable and biopersistent),Yes,Methanol,"WARNING: This product can expose you to chemicals including Glass wool fibers (inhalable and biopersistent), which is known to the State of California to cause cancer, and Methanol, which is known to the State of California to cause birth defects or other reproductive harm. For more information, go to www.P65Warnings.ca.gov"
,Grip Modules,,,,,,,,
,SIG SAUER® P320® Grip Modules,,,,,,,,
Phase Out ,A2A320HYBRID,685757245678,Amend2® S300 Hybrid Grip Module designed for use with a SIG SAUER® P320® Fire Control Unit and a SIG SAUER® P365® Magazine,Yes,Yes,Glass wool fibers (inhalable and biopersistent),Yes,Methanol,"WARNING: This product can expose you to chemicals including Glass wool fibers (inhalable and biopersistent), which is known to the State of California to cause cancer, and Methanol, which is known to the State of California to cause birth defects or other reproductive harm. For more information, go to www.P65Warnings.ca.gov"
,Other Accessories,,,,,,,,
,Mirage Covers for Suppressors,,,,,,,,
,"1.5"" Diameter Mirage Covers",,,,,,,,
New ,SCV1BLK1545,749355072088,"Amend2® Hi-Temp Mirage Cover for Suppressors - V1, Black, 1.5"" Diameter, 4.5"" Length",TBD,TBD,TBD,TBD,TBD,TBD
New ,SCV1BLK1560,749355072095,"Amend2® Hi-Temp Mirage Cover for Suppressors - V1, Black, 1.5"" Diameter, 6"" Length",TBD,TBD,TBD,TBD,TBD,TBD
New ,SCV1BLK1575,749355072101,"Amend2® Hi-Temp Mirage Cover for Suppressors - V1, Black, 1.5"" Diameter, 7.5"" Length",TBD,TBD,TBD,TBD,TBD,TBD
,Trigger Guards,,,,,,,,
,AR-15/M4/M16/SR-25/M110/AR-10 Trigger Guards,,,,,,,,
New ,ARTG1BLK,749355072033,"Amend2® AR-15/M4/M16/SR-25/M110/AR-10 Polymer Trigger Guard - V1, Black (Installation Hardware Included)",Yes,Yes,Glass wool fibers (inhalable and biopersistent),Yes,Methanol,"WARNING: This product can expose you to chemicals including Glass wool fibers (inhalable and biopersistent), which is known to the State of California to cause cancer, and Methanol, which is known to the State of California to cause birth defects or other reproductive harm. For more information, go to www.P65Warnings.ca.gov"
,,,,,,,,,
New ,ARTG1CYT,749355072040,"Amend2® AR-15/M4/M16/SR-25/M110/AR-10 Polymer Trigger Guard - V1, Coyote Brown (Installation Hardware Included)",Yes,Yes,Glass wool fibers (inhalable and biopersistent),Yes,Methanol,"WARNING: This product can expose you to chemicals including Glass wool fibers (inhalable and biopersistent), which is known to the State of California to cause cancer, and Methanol, which is known to the State of California to cause birth defects or other reproductive harm. For more information, go to www.P65Warnings.ca.gov"
,Stocks,,,,,,,,
,AR-15/M4/M15/SR-25/M110/AR-10,,,,,,,,
,Amend2® Modular Stock (AMS),,,,,,,,
,A2AMSBASEBLK,799947619696,Amend2® AMS Modular Mil-Spec Carbine Stock - Base M-LOK® Black Model,Yes,Yes,Glass wool fibers (inhalable and biopersistent),Yes,Methanol,"WARNING: This product can expose you to chemicals including Glass wool fibers (inhalable and biopersistent), which is known to the State of California to cause cancer, and Methanol, which is known to the State of California to cause birth defects or other reproductive harm. For more information, go to www.P65Warnings.ca.gov"
,A2AMSLOWSBLK,799947619726,Amend2® AMS Modular Mil-Spec Carbine Stock - Lower Storage Only Storage Lite Black Model,Yes,Yes,Glass wool fibers (inhalable and biopersistent),Yes,Methanol,"WARNING: This product can expose you to chemicals including Glass wool fibers (inhalable and biopersistent), which is known to the State of California to cause cancer, and Methanol, which is known to the State of California to cause birth defects or other reproductive harm. For more information, go to www.P65Warnings.ca.gov"
,,,,,,,,,
New ,AMSBASECYT,850057645897,Amend2® AMS Modular Mil-Spec Carbine Stock - Base M-LOK® Coyote Brown Model,Yes,Yes,Glass wool fibers (inhalable and biopersistent),Yes,Methanol,"WARNING: This product can expose you to chemicals including Glass wool fibers (inhalable and biopersistent), which is known to the State of California to cause cancer, and Methanol, which is known to the State of California to cause birth defects or other reproductive harm. For more information, go to www.P65Warnings.ca.gov"
New ,AMSLOWSCYT,850057645903,Amend2® AMS Modular Mil-Spec Carbine Stock - Lower Storage Only Storage Lite Coyote Brown Model,Yes,Yes,Glass wool fibers (inhalable and biopersistent),Yes,Methanol,"WARNING: This product can expose you to chemicals including Glass wool fibers (inhalable and biopersistent), which is known to the State of California to cause cancer, and Methanol, which is known to the State of California to cause birth defects or other reproductive harm. For more information, go to www.P65Warnings.ca.gov"
,,,,,,,,,
,A2AMSBASECBN,799947620012,Amend2® AMS Modular Mil-Spec Carbine Stock - Base M-LOK® Carbon Gray Carbon-Reinforced Model,No,N/A,N/A,No,N/A,N/A
,A2AMSLOWSCBN,799947620043,Amend2® AMS Modular Mil-Spec Carbine Stock - Lower Storage Only Storage Lite Carbon Gray Carbon-Reinforced Model,No,N/A,N/A,No,N/A,N/A
,Concealed Carry,,,,,,,,
,Minimalist Concealed Carry Holsters/Accessories,,,,,,,,
,Self-Defense Tools,,,,,,,,
New ,SDTOOL,749355071692,Amend2® Reinforced G10 Red Self-Defense Tool,No,N/A,N/A,No,N/A,N/A
,Self-Defense Tool Point of Sale Display Kit(s),,,,,,,,
New ,SDTOOLDISP,749355071708,Amend2® Self-Defense Tool POS Display Containing 24 Reinforced G10 Red Self-Defense Tools (Item # SDTOOL),No,N/A,N/A,No,N/A,N/A
,Spare Magazine Carriers/Holsters,,,,,,,,
,BLTMAG,853828006415,Techna Clip® Universal Belt Rider™ Mag Carrier Minimalist Spare Pistol Magazine Holder,No,N/A,N/A,No,N/A,N/A
,PKMAG,853828006347,Techna Clip® Universal Pocket Mag® Carrier Minimalist Spare Pistol Magazine Holder,No,N/A,N/A,No,N/A,N/A
,Techna Carry® Minimalist Holsters,,,,,,,,
Pre-Order Only ,TCCPX,685757245883,Techna Carry® Minimalist Holster compatible with SCCY® CPX 9mm Luger Pistols,Yes,Yes,Antimony trioxide,No,N/A,"WARNING: This product can expose you to chemicals including Antimony trioxide, which is known to the State of California to cause cancer. For more information, go to www.P65Warnings.ca.gov"
,TCG2,685757245210,Techna Carry® Minimalist Holster compatible with Taurus® G2/G3 9mm Luger & .40 S&W Pistols,Yes,Yes,Antimony trioxide,No,N/A,"WARNING: This product can expose you to chemicals including Antimony trioxide, which is known to the State of California to cause cancer. For more information, go to www.P65Warnings.ca.gov"
,TCG4243,685757245180,"Techna Carry® Minimalist Holster compatible with GLOCK® G42, G43, G43x, G48 and Shadow Systems® CR920 .380 ACP & 9mm Luger Pistols",Yes,Yes,Antimony trioxide,No,N/A,"WARNING: This product can expose you to chemicals including Antimony trioxide, which is known to the State of California to cause cancer. For more information, go to www.P65Warnings.ca.gov"
,TCGLOCK,685757245197,"Techna Carry® Minimalist Holster compatible with GLOCK® Double Stack 9mm Luger, .40 S&W, .45 ACP & 10mm Auto Pistols",Yes,Yes,Antimony trioxide,No,N/A,"WARNING: This product can expose you to chemicals including Antimony trioxide, which is known to the State of California to cause cancer. For more information, go to www.P65Warnings.ca.gov"
Pre-Order Only ,TCHC,685757245876,Techna Carry® Minimalist Holster compatible with Springfield Armory® Hellcat® (all except the Hellcat® Pro) 9mm Luger Pistols,Yes,Yes,Antimony trioxide,No,N/A,"WARNING: This product can expose you to chemicals including Antimony trioxide, which is known to the State of California to cause cancer. For more information, go to www.P65Warnings.ca.gov"
,TCLCP,685757245203,Techna Carry® Minimalist Holster compatible with Ruger® LCP® .380 ACP Pistols,Yes,Yes,Antimony trioxide,No,N/A,"WARNING: This product can expose you to chemicals including Antimony trioxide, which is known to the State of California to cause cancer. For more information, go to www.P65Warnings.ca.gov"
Pre-Order Only ,TCLCPII,685757245999,Techna Carry® Minimalist Holster compatible with Ruger® LCP® II .380 ACP Pistols,Yes,Yes,Antimony trioxide,No,N/A,"WARNING: This product can expose you to chemicals including Antimony trioxide, which is known to the State of California to cause cancer. For more information, go to www.P65Warnings.ca.gov"
,TCMP,685757245937,"Techna Carry® Minimalist Holster compatible with Smith & Wesson® M&P® M2.0™ 9mm Luger, .40 S&W & .45 ACP Pistols",Yes,Yes,Antimony trioxide,No,N/A,"WARNING: This product can expose you to chemicals including Antimony trioxide, which is known to the State of California to cause cancer. For more information, go to www.P65Warnings.ca.gov"
Pre-Order Only ,TCP320,685757245944,Techna Carry® Minimalist Holster compatible with the SIG SAUER® P320® 9mm Luger Pistols,Yes,Yes,Antimony trioxide,No,N/A,"WARNING: This product can expose you to chemicals including Antimony trioxide, which is known to the State of California to cause cancer. For more information, go to www.P65Warnings.ca.gov"
,TCP365,685757245227,Techna Carry® Minimalist Holster compatible with SIG SAUER® P365® (all except the XMACRO) 9mm Luger Pistols,Yes,Yes,Antimony trioxide,No,N/A,"WARNING: This product can expose you to chemicals including Antimony trioxide, which is known to the State of California to cause cancer. For more information, go to www.P65Warnings.ca.gov"
Pre-Order Only ,TCSDW,685757245968,"Techna Carry® Minimalist Holster compatible with Shadow Systems® MR920, XR920 and DR920 9mm Luger Pistols",Yes,Yes,Antimony trioxide,No,N/A,"WARNING: This product can expose you to chemicals including Antimony trioxide, which is known to the State of California to cause cancer. For more information, go to www.P65Warnings.ca.gov"
,TCSHD,685757245234,"Techna Carry® Minimalist Holster compatible with Smith & Wesson® M&P® Shield™ 9mm Luger, .40 S&W & .45 ACP Pistols",Yes,Yes,Antimony trioxide,No,N/A,"WARNING: This product can expose you to chemicals including Antimony trioxide, which is known to the State of California to cause cancer. For more information, go to www.P65Warnings.ca.gov"
Pre-Order Only ,TCSHDEZ,685757245890,Techna Carry® Minimalist Holster compatible with Smith & Wesson® M&P® Shield EZ 9mm Luger Pistols,Yes,Yes,Antimony trioxide,No,N/A,"WARNING: This product can expose you to chemicals including Antimony trioxide, which is known to the State of California to cause cancer. For more information, go to www.P65Warnings.ca.gov"
Pre-Order Only ,TCTP9,685757245951,Techna Carry® Minimalist Holster compatible with Canik® TP9 9mm Luger Pistols,Yes,Yes,Antimony trioxide,No,N/A,"WARNING: This product can expose you to chemicals including Antimony trioxide, which is known to the State of California to cause cancer. For more information, go to www.P65Warnings.ca.gov"
,Techna Clip® Concealed Carry Kits (Techna Clip® + Trigger Guard Cover Package),,,,,,,,
,CCKG2BA,685757245159,Concealed Carry Kit includes Techna Clip® G2BA and Trigger Guard compatible with Taurus® G2 Millenium/Slim Series 9mm Luger & .40 S&W Pistols,Yes,Yes,Antimony trioxide,No,N/A,"WARNING: This product can expose you to chemicals including Antimony trioxide, which is known to the State of California to cause cancer. For more information, go to www.P65Warnings.ca.gov"
,CCKG43BRL,685757245135,"Concealed Carry Kit includes Techna Clip® G43BRL and Trigger Guard compatible with GLOCK® Models G43, G43x and G48 9mm Luger Pistols",Yes,Yes,Antimony trioxide,No,N/A,"WARNING: This product can expose you to chemicals including Antimony trioxide, which is known to the State of California to cause cancer. For more information, go to www.P65Warnings.ca.gov"
,CCKGLOCKBRL,685757245128,"Concealed Carry Kit includes Techna Clip® GLOCKBRL and Trigger Guard compatible with GLOCK® G17, G19, G22, G23, G24, G25, G26, G27, G28, G30S, G31, G32, G34, G35, G36, G41 and G45 9mm Luger & .40 S&W Pistols",Yes,Yes,Antimony trioxide,No,N/A,"WARNING: This product can expose you to chemicals including Antimony trioxide, which is known to the State of California to cause cancer. For more information, go to www.P65Warnings.ca.gov"
,CCKLCPBR,685757245142,Concealed Carry Kit includes Techna Clip® LCPBR and Trigger Guard compatible with Ruger® .380 LCP® Pistols,Yes,Yes,Antimony trioxide,No,N/A,"WARNING: This product can expose you to chemicals including Antimony trioxide, which is known to the State of California to cause cancer. For more information, go to www.P65Warnings.ca.gov"
,CCKP365BA,685757245166,Concealed Carry Kit includes Techna Clip® P365BA and Trigger Guard compatible with SIG SAUER® P365® (all except the XMACRO) 9mm Luger Pistols,Yes,Yes,Antimony trioxide,No,N/A,"WARNING: This product can expose you to chemicals including Antimony trioxide, which is known to the State of California to cause cancer. For more information, go to www.P65Warnings.ca.gov"
,CCKSHBR,685757245173,Concealed Carry Kit includes Techna Clip® SHBR and Trigger Guard compatible with Smith & Wesson® M&P® Shield™ 9mm Luger & .40 S&W Pistols,Yes,Yes,Antimony trioxide,No,N/A,"WARNING: This product can expose you to chemicals including Antimony trioxide, which is known to the State of California to cause cancer. For more information, go to www.P65Warnings.ca.gov"
,Techna Clip® Minimalist Holsters,,,,,,,,
,BDGBR,853828006088,Techna Clip® Minimalist Holster compatible with Smith & Wesson® M&P® Bodyguard .380 ACP Pistols (Right-Side),No,N/A,N/A,No,N/A,N/A
,COMBR,853828006194,Techna Clip® Minimalist Holster compatible with 1911 Full Size .45 ACP Pistols (Right-Side),No,N/A,N/A,No,N/A,N/A
,DBBR,853828006095,Techna Clip® Minimalist Holster compatible with Diamondback® DB380/DB9 .380 ACP & 9mm Luger Pistols (Right-Side),No,N/A,N/A,No,N/A,N/A
,DEFBR,853828006200,Techna Clip® Minimalist Holster compatible with 1911 Compact .45 ACP Pistols (Right-Side),No,N/A,N/A,No,N/A,N/A
,G2BA,853828006330,Techna Clip® Minimalist Holster compatible with Taurus® G2 Millennium/Slim Series 9mm Luger & .40 S&W Pistols (Ambi),No,N/A,N/A,No,N/A,N/A
,G42BRL,853828006026,Techna Clip® Minimalist Holster compatible with GLOCK® G42 .380 ACP Pistols (Ambi),No,N/A,N/A,No,N/A,N/A
,G43BRL,853828006002,"Techna Clip® Minimalist Holster compatible with GLOCK® G43, G43x and G48 9mm Luger Pistols (Ambi)",No,N/A,N/A,No,N/A,N/A
Discontinued ,GLOCK10BRL,685757245470,"Techna Clip® Minimalist Holster compatible with GLOCK® G20, G21, G21SF, G29, G29SF, G30, G30SF, G37, G38, G39 and G40 .45 ACP & 10mm Auto Pistols (Ambi)",No,N/A,N/A,No,N/A,N/A
,GLOCKBRL,853828006033,"Techna Clip® Minimalist Holster compatible with GLOCK® G17, G19, G22, G23, G24, G25, G26, G27, G28, G30S, G31, G32, G34, G35, G36, G41, G41 MOS, G45 and PSA Dagger 9mm Luger & .40 S&W Pistols (Ambi)",No,N/A,N/A,No,N/A,N/A
New ,GX4BA,799947620135,Techna Clip® Minimalist Holster compatible with Taurus® GX4™ 9mm Luger Pistols (Ambi),No,N/A,N/A,No,N/A,N/A
,HELLCATBA,685757245487,Techna Clip® Minimalist Holster compatible with Springfield Armory® Hellcat® 9mm Luger Pistols (Ambi),No,N/A,N/A,No,N/A,N/A
Discontinued ,JFRBR,853828006187,Techna Clip® Minimalist Holster compatible with Smith & Wesson® J-Frame Pistols (Right-Side),No,N/A,N/A,No,N/A,N/A
,KHRBR,853828006101,Techna Clip® Minimalist Holster compatible with Kahr® 9mm Luger & .40 S&W Pistols (Right-Side),No,N/A,N/A,No,N/A,N/A
,LC9BL,853828006224,Techna Clip® Minimalist Holster compatible with Ruger® LC9® 9mm Luger Pistols (Left-Side),No,N/A,N/A,No,N/A,N/A
,LC9BR,853828006071,Techna Clip® Minimalist Holster compatible with Ruger® LC9® 9mm Luger Pistols (Right-Side),No,N/A,N/A,No,N/A,N/A
,LC9SBR,853828006149,Techna Clip® Minimalist Holster compatible with Ruger® LC9S®/EC9S® 9mm Luger Pistols (Right-Side),No,N/A,N/A,No,N/A,N/A
,LCPBL,853828006132,Techna Clip® Minimalist Holster compatible with Ruger® LCP® .380 ACP Pistols (Left-Side),No,N/A,N/A,No,N/A,N/A
,LCPBR,853828006125,Techna Clip® Minimalist Holster compatible with Ruger® LCP® .380 ACP Pistols (Right-Side),No,N/A,N/A,No,N/A,N/A
,LCPllBR,853828006279,Techna Clip® Minimalist Holster compatible with Ruger® LCP® ll .380 ACP Pistols (Right-Side),No,N/A,N/A,No,N/A,N/A
Discontinued ,MIC9BR,853828006439,Techna Clip® Minimalist Holster compatible with Kimber® Micro 9 9mm Luger Pistols (Right-Side),No,N/A,N/A,No,N/A,N/A
Discontinued ,MPBA,853828006293,"Techna Clip® Minimalist Holster compatible with Smith & Wesson® M&P® M2.0™ 9mm Luger, .40 S&W & .45 ACP Pistols (Ambi) ",No,N/A,N/A,No,N/A,N/A
,NABR,853828006019,Techna Clip® Minimalist Holster compatible with Beretta® Nano® 9mm Luger Pistols (Right-Side),No,N/A,N/A,No,N/A,N/A
,P238BR,853828006156,Techna Clip® Minimalist Holster compatible with SIG SAUER® P238® .380 ACP Pistols (Right-Side),No,N/A,N/A,No,N/A,N/A
,P320BA,853828006408,Techna Clip® Minimalist Holster compatible with SIG SAUER® P320® 9mm Luger Pistols (Right-Side),No,N/A,N/A,No,N/A,N/A
,P365BA,853828006477,Techna Clip® Minimalist Holster compatible with SIG SAUER® P365® (all except the XMACRO) 9mm Luger Pistols (Ambi),No,N/A,N/A,No,N/A,N/A
,P3BR,853828006118,Techna Clip® Minimalist Holster compatible with KelTec® P3AT™/P32™ .380 ACP Pistols (Right-Side),No,N/A,N/A,No,N/A,N/A
Discontinued ,P938BR,853828006163,Techna Clip® Minimalist Holster compatible with SIG SAUER® P938® 9mm Luger Pistols (Right-Side),No,N/A,N/A,No,N/A,N/A
,SDBA,853828006361,Techna Clip® Minimalist Holster compatible with Smith & Wesson® SD9 VE™ & SD40 VE™ 9mm Luger & .40 S&W Pistols (Ambi),No,N/A,N/A,No,N/A,N/A
,SH45BA,853828006309,Techna Clip® Minimalist Holster compatible with Smith & Wesson® M&P® Shield™ .45 ACP Pistols (Right-Side),No,N/A,N/A,No,N/A,N/A
,SHBR,853828006170,Techna Clip® Minimalist Holster compatible with Smith & Wesson® M&P® Shield™ 9mm Luger & .40 S&W Pistols (Right-Side),No,N/A,N/A,No,N/A,N/A
,SR9BA,853828006286,"Techna Clip® Minimalist Holster compatible with Ruger® SR-Series™ 9mm Luger, .40 S&W & .45 ACP Pistols (Ambi)",No,N/A,N/A,No,N/A,N/A
,XDBA,853828006316,"Techna Clip® Minimalist Holster compatible with Springfield Armory® XD® 9mm Luger, .40 S&W & .45 ACP Pistols (Ambi)",No,N/A,N/A,No,N/A,N/A
,XDMBR,853828006040,"Techna Clip® Minimalist Holster compatible with Springfield Armory® XD-M®/XD Mod.2® 9mm Luger, .40 S&W & .45 ACP Pistols (Right-Side)",No,N/A,N/A,No,N/A,N/A
,XDSBA,853828006323,"Techna Clip® Minimalist Holster compatible with Springfield Armory® XD-S®/XD-S Mod.2® 9mm Luger, .40 S&W & .45 ACP Pistols (Ambi)",No,N/A,N/A,No,N/A,N/A
,Techna Clip® Trigger Guard Covers,,,,,,,,
,TGCPX,685757245807,Trigger Guard Cover with Paracord compatible with SCCY® CPX-1 & CPX-2 9mm Luger Pistols,Yes,Yes,Antimony trioxide,No,N/A,"WARNING: This product can expose you to chemicals including Antimony trioxide, which is known to the State of California to cause cancer. For more information, go to www.P65Warnings.ca.gov"
,TGG2,685757245524,Trigger Guard Cover with Paracord compatible with Taurus® G2/G3 9mm Luger & .40 S&W Pistols,Yes,Yes,Antimony trioxide,No,N/A,"WARNING: This product can expose you to chemicals including Antimony trioxide, which is known to the State of California to cause cancer. For more information, go to www.P65Warnings.ca.gov"
,TGG4243,685757245531,"Trigger Guard Cover with Paracord compatible with GLOCK® G42, G43, G43x, G48 and Shadow Systems® CR920 9mm Luger Pistols",Yes,Yes,Antimony trioxide,No,N/A,"WARNING: This product can expose you to chemicals including Antimony trioxide, which is known to the State of California to cause cancer. For more information, go to www.P65Warnings.ca.gov"
,TGGLK,685757245548,"Trigger Guard Cover with Paracord compatible with GLOCK® Double Stack 9mm Luger, .40 S&W, .45 ACP & 10mm Auto Pistols",Yes,Yes,Antimony trioxide,No,N/A,"WARNING: This product can expose you to chemicals including Antimony trioxide, which is known to the State of California to cause cancer. For more information, go to www.P65Warnings.ca.gov"
,TGHC,685757245791,Trigger Guard Cover with Paracord compatible with the Springfield Armory® Hellcat® (except the Hellcat® Pro) 9mm Luger Pistols,Yes,Yes,Antimony trioxide,No,N/A,"WARNING: This product can expose you to chemicals including Antimony trioxide, which is known to the State of California to cause cancer. For more information, go to www.P65Warnings.ca.gov"
,TGLCP,685757245562,Trigger Guard Cover with Paracord compatible with Ruger® LCP® .380 ACP Pistols,Yes,Yes,Antimony trioxide,No,N/A,"WARNING: This product can expose you to chemicals including Antimony trioxide, which is known to the State of California to cause cancer. For more information, go to www.P65Warnings.ca.gov"
,TGLCPII,685757245579,Trigger Guard Cover with Paracord compatible with Ruger® LCP® II .380 ACP Pistols,Yes,Yes,Antimony trioxide,No,N/A,"WARNING: This product can expose you to chemicals including Antimony trioxide, which is known to the State of California to cause cancer. For more information, go to www.P65Warnings.ca.gov"
,TGMP,685757245593,"Trigger Guard Cover with Paracord compatible with Smith & Wesson® M&P® M2.0™ 9mm Luger, .40 S&W & .45 ACP Pistols",Yes,Yes,Antimony trioxide,No,N/A,"WARNING: This product can expose you to chemicals including Antimony trioxide, which is known to the State of California to cause cancer. For more information, go to www.P65Warnings.ca.gov"
Pre-Order Only ,TGP320,685757245609,Trigger Guard Cover with Paracord compatible with SIG SAUER® P320® 9mm Luger Pistols,Yes,Yes,Antimony trioxide,No,N/A,"WARNING: This product can expose you to chemicals including Antimony trioxide, which is known to the State of California to cause cancer. For more information, go to www.P65Warnings.ca.gov"
,TGP365,685757245616,Trigger Guard Cover with Paracord compatible with SIG SAUER® P365® (all except the XMACRO) 9mm Luger Pistols,Yes,Yes,Antimony trioxide,No,N/A,"WARNING: This product can expose you to chemicals including Antimony trioxide, which is known to the State of California to cause cancer. For more information, go to www.P65Warnings.ca.gov"
Pre-Order Only ,TGSDW,685757245982,"Trigger Guard Cover with Paracord compatible with Shadow Systems® MR920, XR920 and DR920 9mm Luger Pistols",Yes,Yes,Antimony trioxide,No,N/A,"WARNING: This product can expose you to chemicals including Antimony trioxide, which is known to the State of California to cause cancer. For more information, go to www.P65Warnings.ca.gov"
,TGSHD,685757245623,Trigger Guard Cover with Paracord compatible with Smith & Wesson® M&P® Shield™ 9mm Luger & .40 S&W Pistols,Yes,Yes,Antimony trioxide,No,N/A,"WARNING: This product can expose you to chemicals including Antimony trioxide, which is known to the State of California to cause cancer. For more information, go to www.P65Warnings.ca.gov"
,TGSHDEZ,685757245814,Trigger Guard Cover with Paracord compatible with Smith & Wesson® M&P® Shield EZ 9mm Luger Pistols,Yes,Yes,Antimony trioxide,No,N/A,"WARNING: This product can expose you to chemicals including Antimony trioxide, which is known to the State of California to cause cancer. For more information, go to www.P65Warnings.ca.gov"
Pre-Order Only ,TGTP9,685757245975,Trigger Guard Cover with Paracord compatible with Canik® TP9 9mm Luger Pistols,Yes,Yes,Antimony trioxide,No,N/A,"WARNING: This product can expose you to chemicals including Antimony trioxide, which is known to the State of California to cause cancer. For more information, go to www.P65Warnings.ca.gov"
,Techna Clip®/Techna Carry® Dealer Point of Sale Display Kit(s),,,,,,,,
,CCKSP36,685757245821,"Concealed Carry Kit Starter Pack - 36 Concealed Carry Kit Units w/ Rotating Display (CCKGLOCKBRL, CCKG43BRL, CCKLCPBR, CCKG2BA, CCKP365BA, CCKSHBR)",Yes,Yes,Antimony trioxide,No,N/A,"WARNING: This product can expose you to chemicals including Antimony trioxide, which is known to the State of California to cause cancer. For more information, go to www.P65Warnings.ca.gov"
,SP48,853828006231,"Techna Clip® Top 8 Starter Pack - 48 Techna Clip® Units w/ Rotating Display (GLOCKBRL, G2BA, G43BRL, LCPBR, P365BA, SHBR, GX4BA, LCPIIBR)",No,N/A,N/A,No,N/A,N/A
,TCSP24,685757245838,"Techna Carry® Starter Pack - 24 Techna Carry® Units w/ Rotating Display (TCGLOCK, TCG4243, TCLCP, TCG2, TCP365, TCSHD)",Yes,Yes,Antimony trioxide,No,N/A,"WARNING: This product can expose you to chemicals including Antimony trioxide, which is known to the State of California to cause cancer. For more information, go to www.P65Warnings.ca.gov"